step,train_loss,val_loss,val_acc
800,1.7469840049743652,0.8926001191139221,0.6041666666666666
1600,1.3762578964233398,0.8064337372779846,0.6474358974358975
2400,1.277601718902588,0.8006677627563477,0.6282051282051282
3200,1.1894221305847168,0.7377200126647949,0.6746794871794872
4000,1.072814702987671,0.7635411024093628,0.6426282051282052
4800,1.0269678831100464,0.6973660588264465,0.7227564102564102
5600,0.9967027902603149,0.7292564511299133,0.6923076923076923
6400,0.9518893957138062,0.6884363889694214,0.7027243589743589
7200,0.889262855052948,0.6582369804382324,0.7243589743589743
8000,0.853787362575531,0.6859275698661804,0.7027243589743589
8800,0.8145282864570618,0.6975340843200684,0.7011217948717948
9600,0.7980018854141235,0.6815938949584961,0.7027243589743589
10400,0.7731257677078247,0.6773921847343445,0.7155448717948718
11200,0.72995924949646,0.6544328331947327,0.7355769230769231
12000,0.7142271995544434,0.6513122916221619,0.7395833333333334
